n,mpi_processes,computational_time,overall_time
100000000,4,0.263052,0.982397
110000000,4,0.320059,1.090530
120000000,4,0.351795,1.176490
130000000,4,0.403837,1.309446
140000000,4,0.440250,1.438282
150000000,4,0.503767,1.712507
160000000,4,0.527913,1.704938
170000000,4,0.576447,1.727663
180000000,4,0.634915,1.917600
190000000,4,0.659440,1.997142
200000000,4,0.711810,2.046778
210000000,4,0.762651,2.174620
220000000,4,0.799317,2.218713
230000000,4,0.847838,2.368605
240000000,4,0.909490,2.463335
250000000,4,0.956446,2.562020
260000000,4,0.988150,2.642223
270000000,4,1.042127,2.970305
280000000,4,1.087977,3.004555
290000000,4,1.128229,2.987853
300000000,4,1.169606,3.012417
310000000,4,1.233344,3.190759
320000000,4,1.245208,3.240820
330000000,4,1.303456,3.356369
340000000,4,1.432828,3.516521
350000000,4,1.418192,3.584953
360000000,4,1.462864,3.852083
370000000,4,1.492009,3.891622
380000000,4,1.566063,3.968933
390000000,4,1.618169,4.069190
