n,serial_comp,serial_overall,mpi_comp,mpi_overall,overall_speedup
150000000,1.510092,2.383732,0.472615,1.397094,1.706207
160000000,1.619233,2.490376,0.515477,1.502761,1.657200
170000000,1.714203,2.625237,0.589126,1.639214,1.601522
180000000,1.819799,2.805588,0.619782,1.738564,1.613739
190000000,1.926237,2.945293,0.638692,1.859937,1.583544
200000000,2.056421,3.137266,0.686864,1.945236,1.612795
210000000,2.162837,3.338216,0.741279,2.046454,1.631220
220000000,2.261329,3.436314,0.815060,2.156123,1.593747
230000000,2.395195,3.615783,0.808733,2.276050,1.588622
240000000,2.497592,3.777678,0.865834,2.309186,1.635935
250000000,2.624428,3.941050,0.899553,2.416377,1.630975
260000000,2.748277,4.126203,0.972927,2.519651,1.637609
270000000,2.844634,4.288135,0.985415,2.591482,1.654704
280000000,2.911063,4.382434,1.050783,2.747990,1.594778
290000000,3.090779,4.602062,1.079512,2.880305,1.597769
300000000,3.217353,4.786261,1.105958,2.877578,1.663295
310000000,3.382925,5.011632,1.182710,3.039070,1.649068
320000000,3.519991,5.206487,1.198998,3.152294,1.651650
330000000,3.661415,5.407236,1.258380,3.244329,1.666673
340000000,3.801517,5.589048,1.291030,3.310444,1.688308
350000000,3.911743,5.759465,1.347172,3.405439,1.691255
360000000,4.061013,5.936211,1.384404,3.545701,1.674200
370000000,4.215329,6.263823,1.412588,3.592098,1.743778
380000000,4.346903,6.192678,1.489427,3.731928,1.659378
390000000,4.549077,6.712228,1.674842,3.992435,1.681237
400000000,4.631432,6.720386,1.563274,3.911771,1.717991
410000000,4.770793,6.883589,1.631446,4.029867,1.708143
420000000,4.897252,7.086752,1.653767,4.137975,1.712614
430000000,5.066670,7.175664,1.744357,4.275500,1.678322
440000000,5.185933,7.497936,1.745209,4.375800,1.713501
