n,mpi_processes,omp_threads,total_threads,hybrid_comp,hybrid_overall
100000000,4,1,4,0.187031,0.944375
100000000,4,2,8,0.096592,0.838848
100000000,4,4,16,0.058504,0.942232
100000000,4,8,32,0.041397,0.872043
110000000,4,1,4,0.221455,1.153601
110000000,4,2,8,0.112530,1.011893
110000000,4,4,16,0.060735,0.943902
110000000,4,8,32,0.046190,0.900538
120000000,4,1,4,0.260538,1.208856
120000000,4,2,8,0.169948,1.115216
120000000,4,4,16,0.072768,1.014819
120000000,4,8,32,0.046585,0.970672
130000000,4,1,4,0.381139,1.382116
130000000,4,2,8,0.146497,1.175170
130000000,4,4,16,0.134759,1.237813
130000000,4,8,32,0.052539,1.061515
140000000,4,1,4,0.424928,1.576421
140000000,4,2,8,0.189803,1.256687
140000000,4,4,16,0.097171,1.172224
140000000,4,8,32,0.250719,1.516350
150000000,4,1,4,0.462758,1.730105
150000000,4,2,8,0.217837,1.398986
150000000,4,4,16,0.103449,1.265818
150000000,4,8,32,0.059367,1.199112
160000000,4,1,4,0.465603,1.768533
160000000,4,2,8,0.236334,1.506227
160000000,4,4,16,0.129134,1.493190
160000000,4,8,32,0.072506,1.464178
170000000,4,1,4,0.485322,1.869181
170000000,4,2,8,0.255817,1.511015
170000000,4,4,16,0.151223,1.423541
170000000,4,8,32,0.087604,1.374946
180000000,4,1,4,0.535794,1.972800
180000000,4,2,8,0.276931,1.601402
180000000,4,4,16,0.175632,1.497424
180000000,4,8,32,0.103399,1.493238
190000000,4,1,4,0.579266,2.203708
190000000,4,2,8,0.293146,2.001320
190000000,4,4,16,0.199169,1.645176
190000000,4,8,32,0.135444,1.614000
200000000,4,1,4,0.603804,2.275199
200000000,4,2,8,0.320982,1.837984
200000000,4,4,16,0.223751,1.712791
200000000,4,8,32,0.151948,1.611179
210000000,4,1,4,0.650942,2.158556
210000000,4,2,8,0.351047,1.967856
210000000,4,4,16,0.239013,1.782206
210000000,4,8,32,0.178274,1.810330
220000000,4,1,4,0.667922,2.387672
220000000,4,2,8,0.375512,2.167218
220000000,4,4,16,0.274526,1.946923
220000000,4,8,32,0.196224,1.791861
230000000,4,1,4,0.739856,2.447796
230000000,4,2,8,0.415810,2.153519
230000000,4,4,16,0.294244,1.998010
230000000,4,8,32,0.239983,1.902646
240000000,4,1,4,0.767848,2.601853
240000000,4,2,8,0.424700,2.286516
240000000,4,4,16,0.311846,2.387191
240000000,4,8,32,0.275950,2.362153
250000000,4,1,4,0.800088,2.692688
250000000,4,2,8,0.457205,2.369281
250000000,4,4,16,0.343981,2.159514
250000000,4,8,32,0.278810,2.298615
260000000,4,1,4,0.841770,2.750891
260000000,4,2,8,0.479038,2.399226
260000000,4,4,16,0.379536,2.278403
260000000,4,8,32,0.307707,2.306573
270000000,4,1,4,0.854794,3.033707
270000000,4,2,8,0.496731,2.628788
270000000,4,4,16,0.396290,2.549007
270000000,4,8,32,0.309985,2.264387
280000000,4,1,4,0.906142,3.140816
280000000,4,2,8,0.522680,2.765521
280000000,4,4,16,0.396329,2.543597
280000000,4,8,32,0.344338,2.370333
290000000,4,1,4,0.924688,3.384459
290000000,4,2,8,0.626010,2.875294
290000000,4,4,16,0.454802,2.731758
290000000,4,8,32,0.378117,2.668438
300000000,4,1,4,0.970343,3.459417
300000000,4,2,8,0.809984,3.209326
300000000,4,4,16,0.490267,2.778249
300000000,4,8,32,0.390580,2.619544
310000000,4,1,4,1.167619,3.837801
310000000,4,2,8,0.578476,3.262133
310000000,4,4,16,0.431763,3.054410
310000000,4,8,32,0.386747,2.720687
320000000,4,1,4,1.050957,3.342124
320000000,4,2,8,0.615227,2.991195
320000000,4,4,16,0.460100,2.960942
320000000,4,8,32,0.406287,2.979643
330000000,4,1,4,1.080853,3.558915
330000000,4,2,8,0.622851,3.015380
330000000,4,4,16,0.472690,2.823152
330000000,4,8,32,0.425747,2.872029
340000000,4,1,4,1.128054,3.769799
340000000,4,2,8,0.660539,3.219014
340000000,4,4,16,0.496801,3.184523
340000000,4,8,32,0.485474,3.144094
350000000,4,1,4,1.121459,3.903856
350000000,4,2,8,0.690011,3.437537
350000000,4,4,16,0.529271,3.309546
350000000,4,8,32,0.481708,3.088555
360000000,4,1,4,1.239281,3.785924
360000000,4,2,8,0.706953,3.242548
360000000,4,4,16,0.533842,3.107722
360000000,4,8,32,0.485903,3.184591
370000000,4,1,4,1.291244,3.974837
370000000,4,2,8,0.753339,3.975217
370000000,4,4,16,0.556576,3.780763
370000000,4,8,32,0.502604,3.520197
380000000,4,1,4,1.246470,4.180271
380000000,4,2,8,0.748948,3.611236
380000000,4,4,16,0.570367,3.462581
380000000,4,8,32,0.529970,3.341790
390000000,4,1,4,1.329728,4.506386
390000000,4,2,8,0.771466,3.853121
390000000,4,4,16,0.594797,3.778219
390000000,4,8,32,0.545470,3.695780
