n,openmp_comp,openmp_overall
150000000,0.164778,1.197034
160000000,0.175339,1.238291
170000000,0.185875,1.326217
180000000,0.194976,1.363554
190000000,0.212832,1.370100
200000000,0.225064,1.625690
210000000,0.231062,1.624760
220000000,0.239685,1.633432
230000000,0.255886,1.788616
240000000,0.261101,1.926100
250000000,0.270842,1.881079
260000000,0.285665,2.056997
270000000,0.296109,2.065191
280000000,0.312734,2.120195
290000000,0.318970,2.198476
300000000,0.334813,2.287709
310000000,0.340957,2.289903
320000000,0.354288,2.486949
330000000,0.366056,2.505924
340000000,0.385190,2.600318
350000000,0.388571,2.594569
360000000,0.407534,2.829951
370000000,0.422197,2.791414
380000000,0.432215,2.805013
390000000,0.441038,2.984141
400000000,0.459389,3.014192
410000000,0.466961,3.118369
420000000,0.480443,3.238793
430000000,0.489717,3.118472
440000000,0.500050,3.348220
