n,serial_comp,serial_overall
100000000,1.045043,1.700062
110000000,1.190878,1.934026
120000000,1.285592,2.104917
130000000,1.423892,2.267952
140000000,1.507079,2.327158
150000000,1.986369,2.967923
160000000,2.028955,3.039091
170000000,1.902445,2.874211
180000000,2.314760,3.341936
190000000,2.603413,3.725170
200000000,2.292931,3.414400
210000000,2.372418,3.621762
220000000,3.030483,4.612747
230000000,2.546230,3.993340
240000000,3.243493,4.819526
250000000,2.783547,4.393087
260000000,2.886767,4.473125
270000000,3.582996,5.183443
280000000,3.345094,5.205986
290000000,4.007417,6.056490
300000000,4.165027,6.105066
310000000,4.319505,6.185310
320000000,4.467684,6.449559
330000000,4.514338,6.382799
340000000,4.702137,6.574447
350000000,4.864516,6.971551
360000000,4.942205,7.025115
370000000,5.080559,7.192513
380000000,5.195939,7.637803
390000000,5.276628,7.752856
