N,Serial_Computational,Serial_Overall
100000000,1.520286,2.137799
110000000,1.722914,2.327720
120000000,1.839110,2.662324
130000000,2.087270,2.828227
140000000,2.228640,3.068335
150000000,2.444649,3.365602
160000000,2.659061,3.552484
170000000,2.716794,3.680144
180000000,2.986976,4.057366
190000000,3.167442,4.423531
200000000,3.316223,4.493130
210000000,3.618579,4.895807
220000000,3.851125,5.163711
230000000,4.115461,5.582083
240000000,4.231420,5.758236
250000000,4.400283,5.874211
260000000,4.790723,6.273753
270000000,5.364413,6.888971
280000000,4.964012,6.606389
290000000,5.897500,7.794150
300000000,5.730327,7.591005
310000000,6.818340,8.606820
320000000,6.904042,9.152167
330000000,7.792595,10.072646
340000000,7.550012,9.756816
350000000,16.478003,18.877864
360000000,8.824152,11.162981
370000000,8.046440,10.567124
380000000,9.799750,12.447957
