n,serial_comp,serial_overall,mpi_comp,mpi_overall,overall_speedup
50000000,0.594893,0.929664,0.052042,0.418625,2.220756
60000000,0.739417,1.226970,0.071581,0.572151,2.144486
70000000,0.992337,1.480018,0.107272,0.620204,2.386341
80000000,1.188757,1.764504,0.139043,0.739250,2.386884
90000000,1.351923,2.189250,0.171708,0.823168,2.659542
100000000,1.681122,2.411900,0.196281,0.937177,2.573580
110000000,1.569704,2.271569,0.216221,0.993061,2.287442
120000000,1.633614,2.637466,0.349417,1.467883,1.796782
130000000,2.112214,2.982313,0.305607,1.269562,2.349088
140000000,2.205024,3.118848,0.370362,1.343921,2.320708
150000000,2.087836,3.093877,0.345831,1.430599,2.162644
160000000,2.247766,3.705838,0.410283,1.562471,2.371780
170000000,2.909753,3.972649,0.525431,1.743319,2.278785
180000000,2.879891,4.098826,0.565594,1.839535,2.228186
190000000,2.605611,3.909656,0.513544,2.243600,1.742582
200000000,2.875432,4.233689,0.659597,2.107180,2.009173
210000000,3.467262,4.692034,0.701784,2.233606,2.100654
220000000,3.061837,4.452433,0.632140,2.238783,1.988774
230000000,3.452776,4.844337,0.798359,2.402708,2.016199
240000000,4.044391,5.537183,0.865475,2.612948,2.119132
250000000,3.538165,5.106323,0.779114,2.984593,1.710894
260000000,4.582005,6.017219,0.912463,2.795357,2.152576
270000000,4.416129,6.122418,0.811558,2.671970,2.291350
280000000,3.894679,6.075733,0.935241,3.109866,1.953696
290000000,4.851854,6.766035,1.045254,3.253142,2.079846
300000000,4.276563,6.267995,0.952638,3.809078,1.645541
310000000,5.224008,7.047046,1.143807,3.400975,2.072066
320000000,4.988845,6.965287,1.028137,3.257624,2.138149
330000000,4.266780,6.125967,1.225643,3.678514,1.665337
340000000,5.278817,7.355655,1.335526,3.611910,2.036500
