N,MPI_Processes,OpenMP_Threads,Total_Threads,Serial_Overall,MPI_Overall,Hybrid_Computational,Hybrid_Overall,Serial_Speedup,MPI_Speedup
50000000,4,1,4,0.929664,0.601901,0.166850,0.514069,1.808442,1.170856
50000000,4,2,8,0.929664,0.601901,0.114871,0.442981,2.098654,1.358751
50000000,4,4,16,0.929664,0.601901,0.076057,0.466136,1.994405,1.291256
50000000,4,8,32,0.929664,0.601901,0.064823,0.395138,2.352758,1.523268
60000000,4,1,4,1.226970,0.644224,0.240657,0.685467,1.789977,0.939832
60000000,4,2,8,1.226970,0.644224,0.155919,0.539729,2.273308,1.193606
60000000,4,4,16,1.226970,0.644224,0.087971,0.490413,2.501912,1.313636
60000000,4,8,32,1.226970,0.644224,0.080908,0.472834,2.594928,1.362474
70000000,4,1,4,1.480018,0.785532,0.286670,0.727115,2.035466,1.080341
70000000,4,2,8,1.480018,0.785532,0.191699,0.665749,2.223087,1.179922
70000000,4,4,16,1.480018,0.785532,0.114179,0.544435,2.718448,1.442839
70000000,4,8,32,1.480018,0.785532,0.095021,0.549707,2.692376,1.429001
80000000,4,1,4,1.764504,0.947774,0.355372,0.967117,1.824499,0.979999
80000000,4,2,8,1.764504,0.947774,0.223916,0.820154,2.151430,1.155605
80000000,4,4,16,1.764504,0.947774,0.145309,0.741224,2.380527,1.278661
80000000,4,8,32,1.764504,0.947774,0.110731,0.710108,2.484839,1.334690
90000000,4,1,4,2.189250,1.001945,0.417764,0.962676,2.274130,1.040792
90000000,4,2,8,2.189250,1.001945,0.258859,0.842376,2.598899,1.189427
90000000,4,4,16,2.189250,1.001945,0.156528,0.828522,2.642356,1.209316
90000000,4,8,32,2.189250,1.001945,0.130083,0.710818,3.079902,1.409566
100000000,4,1,4,2.411900,1.140675,0.466667,1.067116,2.260204,1.068933
100000000,4,2,8,2.411900,1.140675,0.303996,0.990838,2.434202,1.151223
100000000,4,4,16,2.411900,1.140675,0.223130,0.861072,2.801043,1.324715
100000000,4,8,32,2.411900,1.140675,0.144298,0.790401,3.051489,1.443160
110000000,4,1,4,2.271569,1.316485,0.479614,1.161715,1.955358,1.133225
110000000,4,2,8,2.271569,1.316485,0.339916,1.021119,2.224588,1.289257
110000000,4,4,16,2.271569,1.316485,0.247997,0.964358,2.355525,1.365141
110000000,4,8,32,2.271569,1.316485,0.159876,0.878717,2.585097,1.498190
120000000,4,1,4,2.637466,1.398686,0.553498,1.289059,2.046040,1.085044
120000000,4,2,8,2.637466,1.398686,0.372440,1.163701,2.266446,1.201929
