N,MPI_Processes,OpenMP_Threads,Total_Threads,Serial_Overall,MPI_Overall,Hybrid_Computational,Hybrid_Overall,Serial_Speedup,MPI_Speedup
100000000,4,1,4,2.137799,1.146823,0.456235,1.030233,2.075064,1.113169
100000000,4,2,8,2.137799,1.146823,0.298378,0.942122,2.269132,1.217277
100000000,4,4,16,2.137799,1.146823,0.218386,0.932473,2.292612,1.229873
100000000,4,8,32,2.137799,1.146823,0.134539,0.841379,2.540828,1.363028
110000000,4,1,4,2.327720,1.269769,0.546543,1.191795,1.953121,1.065426
110000000,4,2,8,2.327720,1.269769,0.334999,1.015007,2.293304,1.250995
110000000,4,4,16,2.327720,1.269769,0.258533,0.986370,2.359885,1.287315
110000000,4,8,32,2.327720,1.269769,0.160389,0.835558,2.785827,1.519666
120000000,4,1,4,2.662324,1.488708,0.606020,1.370115,1.943139,1.086557
120000000,4,2,8,2.662324,1.488708,0.393887,1.217636,2.186470,1.222622
120000000,4,4,16,2.662324,1.488708,0.294221,1.100686,2.418786,1.352527
120000000,4,8,32,2.662324,1.488708,0.176903,1.174294,2.267170,1.267747
130000000,4,1,4,2.828227,1.511604,0.584898,1.385953,2.040637,1.090660
130000000,4,2,8,2.828227,1.511604,0.417610,1.276289,2.215977,1.184374
130000000,4,4,16,2.828227,1.511604,0.311461,1.221690,2.315012,1.237306
130000000,4,8,32,2.828227,1.511604,0.228908,1.201101,2.354695,1.258515
140000000,4,1,4,3.068335,1.636117,0.718195,1.572825,1.950843,1.040241
140000000,4,2,8,3.068335,1.636117,0.453247,1.356349,2.262202,1.206265
140000000,4,4,16,3.068335,1.636117,0.372891,1.316412,2.330832,1.242861
140000000,4,8,32,3.068335,1.636117,0.229602,1.207694,2.540656,1.354745
150000000,4,1,4,3.365602,2.704628,0.709033,1.744006,1.929811,1.550813
150000000,4,2,8,3.365602,2.704628,0.499332,1.568983,2.145085,1.723810
150000000,4,4,16,3.365602,2.704628,0.382261,1.730432,1.944949,1.562978
150000000,4,8,32,3.365602,2.704628,0.279410,1.299765,2.589393,2.080859
160000000,4,1,4,3.552484,1.903906,0.754180,1.813600,1.958802,1.049794
160000000,4,2,8,3.552484,1.903906,0.568384,1.763084,2.014926,1.079873
160000000,4,4,16,3.552484,1.903906,0.460165,1.848790,1.921518,1.029812
160000000,4,8,32,3.552484,1.903906,0.346363,1.577484,2.251994,1.206926
170000000,4,1,4,3.680144,2.363175,0.870784,2.198522,1.673917,1.074893
170000000,4,2,8,3.680144,2.363175,0.599682,2.081345,1.768157,1.135408
170000000,4,4,16,3.680144,2.363175,0.522692,1.837356,2.002956,1.286182
170000000,4,8,32,3.680144,2.363175,0.357789,1.695064,2.171094,1.394151
180000000,4,1,4,4.057366,2.397356,0.897134,2.143296,1.893050,1.118537
180000000,4,2,8,4.057366,2.397356,0.615669,1.980603,2.048551,1.210417
180000000,4,4,16,4.057366,2.397356,0.524424,1.867110,2.173073,1.283993
180000000,4,8,32,4.057366,2.397356,0.405854,1.707831,2.375742,1.403743
190000000,4,1,4,4.423531,2.493329,0.895199,2.142486,2.064672,1.163755
190000000,4,2,8,4.423531,2.493329,0.650878,2.079807,2.126895,1.198827
190000000,4,4,16,4.423531,2.493329,0.575555,1.982620,2.231154,1.257593
190000000,4,8,32,4.423531,2.493329,0.469500,1.884850,2.346888,1.322826
200000000,4,1,4,4.493130,2.525842,0.991329,2.279848,1.970802,1.107899
200000000,4,2,8,4.493130,2.525842,0.690307,2.154140,2.085812,1.172552
200000000,4,4,16,4.493130,2.525842,0.644263,2.089878,2.149948,1.208607
200000000,4,8,32,4.493130,2.525842,0.444581,2.159165,2.080957,1.169824
210000000,4,1,4,4.895807,2.556295,1.092034,2.613006,1.873630,0.978297
210000000,4,2,8,4.895807,2.556295,0.737898,2.285818,2.141818,1.118328
210000000,4,4,16,4.895807,2.556295,0.674319,2.350532,2.082851,1.087539
210000000,4,8,32,4.895807,2.556295,0.539207,2.269761,2.156970,1.126240
220000000,4,1,4,5.163711,2.937746,1.071343,2.552901,2.022684,1.150748
220000000,4,2,8,5.163711,2.937746,0.849442,2.654194,1.945491,1.106832
220000000,4,4,16,5.163711,2.937746,0.687431,2.268410,2.276357,1.295068
220000000,4,8,32,5.163711,2.937746,0.535741,2.429163,2.125716,1.209366
230000000,4,1,4,5.582083,2.869352,1.096603,2.689673,2.075376,1.066803
230000000,4,2,8,5.582083,2.869352,0.824507,2.478297,2.252387,1.157792
230000000,4,4,16,5.582083,2.869352,0.711925,2.375261,2.350092,1.208015
230000000,4,8,32,5.582083,2.869352,0.626549,2.784921,2.004395,1.030317
240000000,4,1,4,5.758236,3.226503,1.310267,3.327180,1.730666,0.969741
240000000,4,2,8,5.758236,3.226503,0.896142,3.302187,1.743764,0.977081
240000000,4,4,16,5.758236,3.226503,0.822917,3.043217,1.892154,1.060228
240000000,4,8,32,5.758236,3.226503,0.662844,3.003616,1.917101,1.074206
250000000,4,1,4,5.874211,4.187949,1.460174,3.783264,1.552683,1.106967
250000000,4,2,8,5.874211,4.187949,1.015637,3.664195,1.603138,1.142938
250000000,4,4,16,5.874211,4.187949,0.826114,3.711902,1.582534,1.128249
250000000,4,8,32,5.874211,4.187949,0.850235,3.653239,1.607946,1.146366
260000000,4,1,4,6.273753,4.516670,1.568180,4.304076,1.457631,1.049394
260000000,4,2,8,6.273753,4.516670,1.041553,4.301112,1.458635,1.050117
260000000,4,4,16,6.273753,4.516670,0.998684,4.055121,1.547119,1.113819
260000000,4,8,32,6.273753,4.516670,0.767179,3.684448,1.702766,1.225874
270000000,4,1,4,6.888971,4.974404,1.659867,4.745254,1.451760,1.048290
270000000,4,2,8,6.888971,4.974404,1.097080,4.521571,1.523579,1.100149
270000000,4,4,16,6.888971,4.974404,0.990165,4.126988,1.669249,1.205335
270000000,4,8,32,6.888971,4.974404,0.876129,4.118898,1.672528,1.207703
280000000,4,1,4,6.606389,5.063760,1.632146,4.698952,1.405928,1.077636
280000000,4,2,8,6.606389,5.063760,1.243022,4.504939,1.466477,1.124046
280000000,4,4,16,6.606389,5.063760,0.999869,4.301117,1.535971,1.177313
280000000,4,8,32,6.606389,5.063760,0.981058,4.279307,1.543799,1.183313
290000000,4,1,4,7.794150,5.103576,1.648268,4.741449,1.643833,1.076375
290000000,4,2,8,7.794150,5.103576,1.133909,4.378531,1.780083,1.165591
290000000,4,4,16,7.794150,5.103576,1.022657,4.290368,1.816662,1.189543
290000000,4,8,32,7.794150,5.103576,0.902626,4.100522,1.900770,1.244616
300000000,4,1,4,7.591005,5.435248,1.725993,4.884222,1.554189,1.112818
300000000,4,2,8,7.591005,5.435248,1.188095,5.119062,1.482890,1.061766
300000000,4,4,16,7.591005,5.435248,1.051981,4.463206,1.700796,1.217790
300000000,4,8,32,7.591005,5.435248,0.963674,4.411134,1.720874,1.232166
310000000,4,1,4,8.606820,5.520867,1.778279,5.305586,1.622219,1.040576
310000000,4,2,8,8.606820,5.520867,1.176246,4.705459,1.829114,1.173290
310000000,4,4,16,8.606820,5.520867,1.322150,5.051344,1.703867,1.092950
310000000,4,8,32,8.606820,5.520867,1.064290,4.566630,1.884720,1.208959
320000000,4,1,4,9.152167,5.543719,1.811592,5.217157,1.754244,1.062594
320000000,4,2,8,9.152167,5.543719,1.311351,4.991805,1.833438,1.110564
320000000,4,4,16,9.152167,5.543719,1.182097,4.715308,1.940948,1.175685
320000000,4,8,32,9.152167,5.543719,1.047387,4.947985,1.849676,1.120399
330000000,4,1,4,10.072646,5.994170,1.948605,5.598240,1.799252,1.070724
330000000,4,2,8,10.072646,5.994170,1.337689,5.416461,1.859636,1.106658
330000000,4,4,16,10.072646,5.994170,1.235742,5.172727,1.947260,1.158803
330000000,4,8,32,10.072646,5.994170,1.113004,5.027958,2.003327,1.192168
340000000,4,1,4,9.756816,5.926734,1.958505,5.697100,1.712593,1.040307
340000000,4,2,8,9.756816,5.926734,1.381163,5.892789,1.655721,1.005760
340000000,4,4,16,9.756816,5.926734,1.280132,5.259931,1.854932,1.126770
340000000,4,8,32,9.756816,5.926734,1.113792,5.184046,1.882085,1.143264
350000000,4,1,4,18.877864,6.145478,1.978060,5.799530,3.255068,1.059651
350000000,4,2,8,18.877864,6.145478,1.414138,5.471453,3.450247,1.123189
350000000,4,4,16,18.877864,6.145478,1.463091,5.953334,3.170973,1.032275
350000000,4,8,32,18.877864,6.145478,1.169917,5.342873,3.533280,1.150220
360000000,4,1,4,11.162981,6.363550,2.144287,6.213787,1.796486,1.024102
360000000,4,2,8,11.162981,6.363550,1.468869,5.605841,1.991312,1.135164
360000000,4,4,16,11.162981,6.363550,1.434306,5.723423,1.950403,1.111843
360000000,4,8,32,11.162981,6.363550,1.245610,5.523443,2.021019,1.152098
370000000,4,1,4,10.567124,6.550078,2.234247,6.514626,1.622061,1.005442
370000000,4,2,8,10.567124,6.550078,1.615588,6.138694,1.721396,1.067015
370000000,4,4,16,10.567124,6.550078,1.696949,6.402157,1.650557,1.023105
370000000,4,8,32,10.567124,6.550078,1.287604,5.727435,1.845001,1.143632
380000000,4,1,4,12.447957,6.535237,2.151673,6.944913,1.792385,0.941011
380000000,4,2,8,12.447957,6.535237,1.631245,6.426495,1.936975,1.016921
380000000,4,4,16,12.447957,6.535237,1.415778,6.027792,2.065094,1.084184
380000000,4,8,32,12.447957,6.535237,1.375071,6.040661,2.060695,1.081874
