N,Task1 Computational,Task1 Overall,Task2 Computational,Task2 Overall,Task3 Computational,Task3 Overall,POSIX Speedup,OpenMP Speedup
10000000,2.494189,3.832805,0.376389,1.696697,0.352194,1.805984,6.626626,7.081861
20000000,6.448608,8.435205,0.823954,3.349560,0.844185,3.122633,7.826417,7.638856
30000000,11.353623,14.488113,1.485982,4.698897,1.425715,5.052982,7.640485,7.963459
40000000,16.824182,21.410084,2.124781,7.125262,2.121666,6.803288,7.918078,7.929703
50000000,22.783397,29.511385,2.824163,9.071605,2.946908,10.708605,8.067310,7.731289
60000000,29.928208,39.964206,3.631516,11.286929,3.707901,12.273666,8.241244,8.071469
70000000,37.379489,44.692799,4.540659,12.119696,4.488946,12.267147,8.232173,8.327008
80000000,45.256904,52.735183,5.402874,13.067642,5.385721,16.020461,8.376450,8.403128
90000000,53.299685,65.249201,6.481298,18.175552,6.418867,17.602233,8.223613,8.303597
100000000,62.011948,73.005424,7.521822,17.402113,7.366456,16.067838,8.244272,8.418152
110000000,69.818984,84.018839,8.420523,22.855038,8.366761,22.531177,8.291526,8.344804
120000000,80.734181,95.833229,9.550039,22.417554,9.497310,24.961966,8.453806,8.500742
130000000,89.702206,106.918124,10.667703,24.878070,10.676247,25.151772,8.408765,8.402035
140000000,99.771531,120.704381,11.859690,33.611012,11.858399,32.015238,8.412659,8.413575
150000000,110.505871,129.583291,13.141520,34.802322,13.117255,38.236990,8.408911,8.424466
160000000,121.339250,137.738848,14.851015,37.248810,15.127555,38.466902,8.170435,8.021075
170000000,131.924213,150.802431,15.705892,32.558276,15.683153,40.167836,8.399664,8.411843
180000000,143.077437,163.744381,17.110115,35.828023,17.010424,42.672227,8.362155,8.411162
190000000,154.599185,174.249816,18.478708,43.001554,18.349478,44.391711,8.366342,8.425263
200000000,166.080719,190.412697,19.819034,48.388714,20.067393,46.918933,8.379859,8.276148
210000000,178.148589,206.879859,21.216558,49.780359,21.167948,46.968125,8.396677,8.415959
220000000,189.236400,215.434973,22.636393,49.910781,22.611497,46.871008,8.359830,8.369035
230000000,202.807012,227.054835,24.153210,56.671674,24.221219,58.506602,8.396690,8.373113
240000000,215.058829,250.758835,25.653169,55.397459,25.525809,51.207557,8.383324,8.425152
250000000,225.470538,238.685346,21.745109,31.431671,18.561750,27.697147,10.368793,12.147052
260000000,173.684168,198.139173,27.100955,54.890587,25.561950,89.479690,6.408784,6.794637
270000000,190.461859,208.749755,28.569407,47.306120,28.179189,49.292968,6.666637,6.758955
280000000,201.215785,219.656920,29.289630,47.273515,29.965928,49.506615,6.869864,6.714819
290000000,211.495048,231.826964,30.046033,49.694039,31.486821,63.490417,7.039034,6.716939
300000000,221.946967,246.526947,30.603993,49.872779,32.051537,53.363431,7.252223,6.924690
