Threads,Serial Computational,POSIX Computational,POSIX Speedup,OpenMP Computational,OpenMP Speedup
1,46.528487,46.565534,0.999204,46.020310,1.011042
2,46.528487,22.805085,2.040268,22.888453,2.032837
4,46.528487,11.598399,4.011630,11.459613,4.060215
6,46.528487,8.473357,5.491151,7.832230,5.940644
8,46.528487,6.776363,6.866292,6.928961,6.715074
10,46.528487,6.250091,7.444450,5.998009,7.757322
12,46.528487,6.446805,7.217294,6.392692,7.278387
16,46.528487,5.345248,8.704645,5.180029,8.982283
20,46.528487,4.714128,9.870009,4.676722,9.948953
24,46.528487,4.710246,9.878144,4.911777,9.472842
